"grid","year","severity","chs","low","mid","high","presumptive"
"standard",2013,"10","1",141,165,198,"commit"
"standard",2014,"10","1",141,165,198,"commit"
"standard",2015,"10","1",141,165,198,"commit"
"standard",2016,"10","1",141,165,198,"commit"
"standard",2017,"10","1",141,165,198,"commit"
"standard",2018,"10","1",141,165,198,"commit"
"standard",2019,"10","1",141,165,198,"commit"
"standard",2020,"10","1",141,165,198,"commit"
"standard",2002,"10","2",174,180,186,"commit"
"standard",2003,"10","2",174,180,186,"commit"
"standard",2004,"10","2",174,180,186,"commit"
"standard",2005,"10","2",153,180,216,"commit"
"standard",2006,"10","2",153,180,216,"commit"
"standard",2007,"10","2",153,180,216,"commit"
"standard",2008,"10","2",153,180,216,"commit"
"standard",2009,"10","2",153,180,216,"commit"
"standard",2010,"10","2",153,180,216,"commit"
"standard",2011,"10","2",153,180,216,"commit"
"standard",2012,"10","2",153,180,216,"commit"
"standard",2013,"10","2",153,180,216,"commit"
"standard",2014,"10","2",153,180,216,"commit"
"standard",2015,"10","2",153,180,216,"commit"
"standard",2016,"10","2",153,180,216,"commit"
"standard",2017,"10","2",153,180,216,"commit"
"standard",2018,"10","2",153,180,216,"commit"
"standard",2019,"10","2",153,180,216,"commit"
"standard",2020,"10","2",153,180,216,"commit"
"standard",2002,"10","3",189,195,201,"commit"
"standard",2003,"10","3",189,195,201,"commit"
"standard",2004,"10","3",189,195,201,"commit"
"standard",2005,"10","3",166,195,234,"commit"
"standard",2006,"10","3",166,195,234,"commit"
"standard",2007,"10","3",166,195,234,"commit"
"standard",2008,"10","3",166,195,234,"commit"
"standard",2009,"10","3",166,195,234,"commit"
"standard",2010,"10","3",166,195,234,"commit"
"standard",2011,"10","3",166,195,234,"commit"
"standard",2012,"10","3",166,195,234,"commit"
"standard",2013,"10","3",166,195,234,"commit"
"standard",2014,"10","3",166,195,234,"commit"
"standard",2015,"10","3",166,195,234,"commit"
"standard",2016,"10","3",166,195,234,"commit"
"standard",2017,"10","3",166,195,234,"commit"
"standard",2018,"10","3",166,195,234,"commit"
"standard",2019,"10","3",166,195,234,"commit"
"standard",2020,"10","3",166,195,234,"commit"
"standard",2002,"10","4",204,210,216,"commit"
"standard",2003,"10","4",204,210,216,"commit"
"standard",2004,"10","4",204,210,216,"commit"
"standard",2005,"10","4",179,210,252,"commit"
"standard",2006,"10","4",179,210,252,"commit"
"standard",2007,"10","4",179,210,252,"commit"
"standard",2008,"10","4",179,210,252,"commit"
"standard",2009,"10","4",179,210,252,"commit"
"standard",2010,"10","4",179,210,252,"commit"
"standard",2011,"10","4",179,210,252,"commit"
"standard",2012,"10","4",179,210,252,"commit"
"standard",2013,"10","4",179,210,252,"commit"
"standard",2014,"10","4",179,210,252,"commit"
"standard",2015,"10","4",179,210,252,"commit"
"standard",2016,"10","4",179,210,252,"commit"
"standard",2017,"10","4",179,210,252,"commit"
"standard",2018,"10","4",179,210,252,"commit"
"standard",2019,"10","4",179,210,252,"commit"
"standard",2020,"10","4",179,210,252,"commit"
"standard",2002,"10","5",219,225,231,"commit"
"standard",2003,"10","5",219,225,231,"commit"
"standard",2004,"10","5",219,225,231,"commit"
"standard",2005,"10","5",192,225,270,"commit"
"standard",2006,"10","5",192,225,270,"commit"
"standard",2007,"10","5",192,225,270,"commit"
"standard",2008,"10","5",192,225,270,"commit"
"standard",2009,"10","5",192,225,270,"commit"
"standard",2010,"10","5",192,225,270,"commit"
"standard",2011,"10","5",192,225,270,"commit"
"standard",2012,"10","5",192,225,270,"commit"
"standard",2013,"10","5",192,225,270,"commit"
"standard",2014,"10","5",192,225,270,"commit"
"standard",2015,"10","5",192,225,270,"commit"
"standard",2016,"10","5",192,225,270,"commit"
"standard",2017,"10","5",192,225,270,"commit"
"standard",2018,"10","5",192,225,270,"commit"
"standard",2019,"10","5",192,225,270,"commit"
"standard",2020,"10","5",192,225,270,"commit"
"standard",2002,"10","6",234,240,246,"commit"
"standard",2003,"10","6",234,240,246,"commit"
"standard",2004,"10","6",234,240,246,"commit"
"standard",2005,"10","6",204,240,288,"commit"
"standard",2006,"10","6",204,240,288,"commit"
"standard",2007,"10","6",204,240,288,"commit"
"standard",2008,"10","6",204,240,288,"commit"
"standard",2009,"10","6",204,240,288,"commit"
"standard",2010,"10","6",204,240,288,"commit"
"standard",2011,"10","6",204,240,288,"commit"
"standard",2012,"10","6",204,240,288,"commit"
"standard",2013,"10","6",204,240,288,"commit"
"standard",2014,"10","6",204,240,288,"commit"
"standard",2015,"10","6",204,240,288,"commit"
"standard",2016,"10","6",204,240,288,"commit"
"standard",2017,"10","6",204,240,288,"commit"
"standard",2018,"10","6",204,240,288,"commit"
"standard",2019,"10","6",204,240,288,"commit"
"standard",2020,"10","6",204,240,288,"commit"
"standard",2002,"11","0",299,306,313,"commit"
"standard",2003,"11","0",299,306,313,"commit"
"standard",2004,"11","0",299,306,313,"commit"
"standard",2005,"11","0",261,306,367,"commit"
"standard",2006,"11","0",261,306,367,"commit"
"standard",2007,"11","0",261,306,367,"commit"
"standard",2008,"11","0",261,306,367,"commit"
"standard",2009,"11","0",261,306,367,"commit"
"standard",2010,"11","0",261,306,367,"commit"
"standard",2011,"11","0",261,306,367,"commit"
"standard",2012,"11","0",261,306,367,"commit"
"standard",2013,"11","0",261,306,367,"commit"
"standard",2014,"11","0",261,306,367,"commit"
"standard",2015,"11","0",261,306,367,"commit"
"standard",2016,"11","0",261,306,367,"commit"
"standard",2017,"11","0",261,306,367,"commit"
"standard",2018,"11","0",261,306,367,"commit"
"standard",2019,"11","0",261,306,367,"commit"
"standard",2020,"11","0",261,306,367,"commit"
"standard",2002,"11","1",319,326,333,"commit"
"standard",2003,"11","1",319,326,333,"commit"
"standard",2004,"11","1",319,326,333,"commit"
"standard",2005,"11","1",278,326,391,"commit"
"standard",2006,"11","1",278,326,391,"commit"
"standard",2007,"11","1",278,326,391,"commit"
"standard",2008,"11","1",278,326,391,"commit"
"standard",2009,"11","1",278,326,391,"commit"
"standard",2010,"11","1",278,326,391,"commit"
"standard",2011,"11","1",278,326,391,"commit"
"standard",2012,"11","1",278,326,391,"commit"
"standard",2013,"11","1",278,326,391,"commit"
"standard",2014,"11","1",278,326,391,"commit"
"standard",2015,"11","1",278,326,391,"commit"
"standard",2016,"11","1",278,326,391,"commit"
"standard",2017,"11","1",278,326,391,"commit"
"standard",2018,"11","1",278,326,391,"commit"
"standard",2019,"11","1",278,326,391,"commit"
"standard",2020,"11","1",278,326,391,"commit"
"standard",2002,"11","2",339,346,353,"commit"
"standard",2003,"11","2",339,346,353,"commit"
"standard",2004,"11","2",339,346,353,"commit"
"standard",2005,"11","2",295,346,415,"commit"
"standard",2006,"11","2",295,346,415,"commit"
"standard",2007,"11","2",295,346,415,"commit"
"standard",2008,"11","2",295,346,415,"commit"
"standard",2009,"11","2",295,346,415,"commit"
"standard",2010,"11","2",295,346,415,"commit"
"standard",2011,"11","2",295,346,415,"commit"
"standard",2012,"11","2",295,346,415,"commit"
"standard",2013,"11","2",295,346,415,"commit"
"standard",2014,"11","2",295,346,415,"commit"
"standard",2015,"11","2",295,346,415,"commit"
"standard",2016,"11","2",295,346,415,"commit"
"standard",2017,"11","2",295,346,415,"commit"
"standard",2018,"11","2",295,346,415,"commit"
"standard",2019,"11","2",295,346,415,"commit"
"standard",2020,"11","2",295,346,415,"commit"
"standard",2002,"11","3",359,366,373,"commit"
"standard",2003,"11","3",359,366,373,"commit"
"standard",2004,"11","3",359,366,373,"commit"
"standard",2005,"11","3",312,366,439,"commit"
"standard",2006,"11","3",312,366,439,"commit"
"standard",2007,"11","3",312,366,439,"commit"
"standard",2008,"11","3",312,366,439,"commit"
"standard",2009,"11","3",312,366,439,"commit"
"standard",2010,"11","3",312,366,439,"commit"
"standard",2011,"11","3",312,366,439,"commit"
"standard",2012,"11","3",312,366,439,"commit"
"standard",2013,"11","3",312,366,439,"commit"
"standard",2014,"11","3",312,366,439,"commit"
"standard",2015,"11","3",312,366,439,"commit"
"standard",2016,"11","3",312,366,439,"commit"
"standard",2017,"11","3",312,366,439,"commit"
"standard",2018,"11","3",312,366,439,"commit"
"standard",2019,"11","3",312,366,439,"commit"
"standard",2020,"11","3",312,366,439,"commit"
"standard",2002,"11","4",379,386,393,"commit"
"standard",2003,"11","4",379,386,393,"commit"
"standard",2004,"11","4",379,386,393,"commit"
"standard",2005,"11","4",329,386,463,"commit"
"standard",2006,"11","4",329,386,463,"commit"
"standard",2007,"11","4",329,386,463,"commit"
"standard",2008,"11","4",329,386,463,"commit"
"standard",2009,"11","4",329,386,463,"commit"
"standard",2010,"11","4",329,386,463,"commit"
"standard",2011,"11","4",329,386,463,"commit"
"standard",2012,"11","4",329,386,463,"commit"
"standard",2013,"11","4",329,386,463,"commit"
"standard",2014,"11","4",329,386,463,"commit"
"standard",2015,"11","4",329,386,463,"commit"
"standard",2016,"11","4",329,386,463,"commit"
"standard",2017,"11","4",329,386,463,"commit"
"standard",2018,"11","4",329,386,463,"commit"
"standard",2019,"11","4",329,386,463,"commit"
"standard",2020,"11","4",329,386,463,"commit"
"standard",2002,"11","5",399,406,413,"commit"
"standard",2003,"11","5",399,406,413,"commit"
"standard",2004,"11","5",399,406,413,"commit"
"standard",2005,"11","5",346,406,480,"commit"
"standard",2006,"11","5",346,406,480,"commit"
"standard",2007,"11","5",346,406,480,"commit"
"standard",2008,"11","5",346,406,480,"commit"
"standard",2009,"11","5",346,406,480,"commit"
"standard",2010,"11","5",346,406,480,"commit"
"standard",2011,"11","5",346,406,480,"commit"
"standard",2012,"11","5",346,406,480,"commit"
"standard",2013,"11","5",346,406,480,"commit"
"standard",2014,"11","5",346,406,480,"commit"
"standard",2015,"11","5",346,406,480,"commit"
"standard",2016,"11","5",346,406,480,"commit"
"standard",2017,"11","5",346,406,480,"commit"
"standard",2018,"11","5",346,406,480,"commit"
"standard",2019,"11","5",346,406,480,"commit"
"standard",2020,"11","5",346,406,480,"commit"
"standard",2002,"11","6",419,426,433,"commit"
"standard",2003,"11","6",419,426,433,"commit"
"standard",2004,"11","6",419,426,433,"commit"
"standard",2005,"11","6",363,426,480,"commit"
"standard",2006,"11","6",363,426,480,"commit"
"standard",2007,"11","6",363,426,480,"commit"
"standard",2008,"11","6",363,426,480,"commit"
"standard",2009,"11","6",363,426,480,"commit"
"standard",2010,"11","6",363,426,480,"commit"
"standard",2011,"11","6",363,426,480,"commit"
"standard",2012,"11","6",363,426,480,"commit"
"standard",2013,"11","6",363,426,480,"commit"
"standard",2014,"11","6",363,426,480,"commit"
"standard",2015,"11","6",363,426,480,"commit"
"standard",2016,"11","6",363,426,480,"commit"
"standard",2017,"11","6",363,426,480,"commit"
"standard",2018,"11","6",363,426,480,"commit"
"standard",2019,"11","6",363,426,480,"commit"
"standard",2020,"11","6",363,426,480,"commit"
"standard",2002,"2","0",12,12,12,"stay"
"standard",2003,"2","0",12,12,12,"stay"
"standard",2004,"2","0",12,12,12,"stay"
"standard",2005,"2","0",12,12,12,"stay"
"standard",2006,"2","0",12,12,12,"stay"
"standard",2007,"2","0",12,12,12,"stay"
"standard",2008,"2","0",12,12,12,"stay"
"standard",2009,"2","0",12,12,12,"stay"
"standard",2010,"2","0",12,12,12,"stay"
"standard",2011,"2","0",12,12,12,"stay"
"standard",2012,"2","0",12,12,12,"stay"
"standard",2013,"2","0",12,12,12,"stay"
"standard",2014,"2","0",12,12,12,"stay"
"standard",2015,"2","0",12,12,12,"stay"
"standard",2016,"2","0",12,12,12,"stay"
"standard",2017,"2","0",12,12,12,"stay"
"standard",2018,"2","0",12,12,12,"stay"
"standard",2019,"2","0",12,12,12,"stay"
"standard",2020,"2","0",12,12,12,"stay"
"standard",2002,"2","1",12,12,12,"stay"
"standard",2003,"2","1",12,12,12,"stay"
"standard",2004,"2","1",12,12,12,"stay"
"standard",2005,"2","1",12,12,12,"stay"
"standard",2006,"2","1",12,12,12,"stay"
"standard",2007,"2","1",12,12,12,"stay"
"standard",2008,"2","1",12,12,12,"stay"
"standard",2009,"2","1",12,12,12,"stay"
"standard",2010,"2","1",12,12,12,"stay"
"standard",2011,"2","1",12,12,12,"stay"
"standard",2012,"2","1",12,12,12,"stay"
"standard",2013,"2","1",12,12,12,"stay"
"standard",2014,"2","1",12,12,12,"stay"
"standard",2015,"2","1",12,12,12,"stay"
"standard",2016,"2","1",12,12,12,"stay"
"standard",2017,"2","1",12,12,12,"stay"
"standard",2018,"2","1",12,12,12,"stay"
"standard",2019,"2","1",12,12,12,"stay"
"standard",2020,"2","1",12,12,12,"stay"
"standard",2002,"2","2",13,13,13,"stay"
"standard",2003,"2","2",13,13,13,"stay"
"standard",2004,"2","2",13,13,13,"stay"
